rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
2.501	2.5006632653061223	2.550663265306121	224	236	234	232	94.36	234	234	234	234	94.45	0	0	0	0	0	0	0	53	53	0	0.049999999999998934	0	0	0	2.5007	0	57.9	0	0	1	0	1	0	0
2.711	2.7106632653061222	2.775663265306121	162	169	166	166	88.59	166	166	166	166	88.6	0	0	-5.85	0	0	0	0	18	18	0	0.06499999999999861	0	0	0	0.16	0	59.4	0	0	1	0	0	0	0
2.901	2.900663265306122	2.9906632653061203	145	150	148	148	86.52	148	148	148	148	86.53	0	0	-1.97	0	0	0	0	6	6	0	0.08999999999999808	0	0	0	0.125	0	51.9	0	0	1	1	0	0.965	0
3.956	3.9556632653061223	3.975663265306122	206	210	209	208	92.49	209	209	209	209	92.56	0	0	6.05	0	0	0	0	41	41	0	0.019999999999999574	0	0	0	0.965	0	60	0	0	1	0	1	0	0
4.116	4.1156632653061225	4.170663265306121	149	171	158	159	87.77	158	158	158	158	87.71	0	0	-4.77	0	0	0	0	13	13	0	0.05499999999999883	0	0	0	0.14	0	59.3	0	0	1	0	0	0	0
4.356	4.355663265306123	4.450663265306121	202	348	234	250	95.65	202	348	202	348	101.32	1	9.36	4.32	9.36	0	9.36	0	38	93	55	0.09499999999999797	0	0	0	0.185	0	64.8	0	0	1	1	0	0.815	0
5.266	5.265663265306123	5.315663265306122	145	155	151	151	86.91	151	151	151	151	86.96	0	0	-14.35	0	0	0	0	8	8	0	0.049999999999998934	0	0	0	0.815	0	62	0	0	1	0	1	0	0
5.481	5.480663265306123	5.540663265306121	207	218	215	214	92.95	215	215	215	215	93.02	0	0	6.16	0	0	0	0	44	44	0	0.05999999999999872	0	0	0	0.165	0	65.2	0	0	1	0	0	0	0
5.596	5.595663265306123	5.620663265306122	151	184	167	166	88.6	167	167	167	167	88.7	0	0	-4.28	0	0	0	0	18	18	0	0.024999999999999467	0	0	0	0.055	0	59.2	0	0	1	0	0	0	0
5.661	5.660663265306122	5.685663265306122	140	146	144	143	85.99	144	144	144	144	86.06	0	0	-2.55	0	0	0	0	3	3	0	0.024999999999999467	0	0	0	0.04	0	62.3	0	0	1	1	0	2.13	0
7.816	7.815663265306123	7.835663265306122	246	250	250	249	95.55	250	250	250	250	95.6	0	0	9.56	0	0	0	0	59	59	0	0.019999999999999574	0	0	0	2.13	0	64.5	0	0	1	0	1	0	0
7.896	7.895663265306123	7.970663265306121	222	242	240	239	94.83	240	240	240	240	94.91	0	0	-0.68	0	0	0	0	55	55	0	0.0749999999999984	0	0	0	0.06	0	67.7	0	0	1	0	0	0	0
