rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
1.747	1.7468877551020423	1.7718877551020418	193	220	211	206	92.28	211	211	211	211	92.72	0	0	0	0	0	0	0	44	44	0	0.024999999999999467	0	0	0	1.7469	0	52.4	0	0	1	1	1	1.78	0
3.552	3.5518877551020425	3.5918877551020416	185	200	193	192	91.09	193	193	193	193	91.14	0	0	-1.52	0	0	0	0	33	33	0	0.03999999999999915	0	0	0	1.78	0	59.9	0	0	1	0	1	0	0
3.752	3.751887755102042	3.816887755102041	230	235	233	233	94.41	233	233	233	233	94.43	0	0	3.32	0	0	0	0	56	56	0	0.06499999999999861	0	0	0	0.16	0	60.3	0	0	1	0	0	0	0
3.952	3.9518877551020424	4.021887755102041	158	187	174	172	89.16	187	159	159	187	90.62	-1	-2.85	-3.75	0	-2.85	2.85	0	30	10	-20	0.06999999999999851	0	0	0	0.135	0	55.2	0	0	1	1	0	0.745	0
4.767	4.766887755102043	4.801887755102042	164	167	165	165	88.46	165	165	165	165	88.47	0	0	0.72	0	0	0	0	15	15	0	0.034999999999999254	0	0	0	0.745	0	59.5	0	0	1	0	1	0	0
5.027	5.0268877551020426	5.081887755102041	157	164	161	161	88.01	161	161	161	161	88.05	0	0	-0.35	0	0	0	0	12	12	0	0.05499999999999883	0	0	0	0.225	0	58	0	0	1	1	0	0.935	0
6.017	6.016887755102043	6.051887755102042	148	154	150	151	86.89	150	150	150	150	86.78	0	0	-1.19	0	0	0	0	3	3	0	0.034999999999999254	0	0	0	0.935	0	58.4	0	0	1	1	1	1.535	0
7.587	7.586887755102043	7.621887755102042	258	290	275	274	97.2	275	275	275	275	97.24	0	0	10.5	0	0	0	0	76	76	0	0.034999999999999254	0	0	0	1.535	0	66.6	0	0	1	0	1	0	0
7.682	7.681887755102043	7.776887755102041	193	249	233	229	94.1	249	193	193	249	95.57	-1	-4.43	-1.67	0	-4.43	4.43	0	64	33	-31	0.09499999999999797	0	0	0	0.06	0	69.8	0	0	1	0	0	0	0
7.862	7.8618877551020425	7.98188775510204	186	194	188	188	90.74	188	188	188	188	90.7	0	0	-0.41	0	0	0	0	30	30	0	0.11999999999999744	0	0	0	0.085	0	65.5	0	0	1	1	0	1.04	0
9.022	9.021887755102043	9.036887755102045	156	159	158	158	87.68	158	158	158	158	87.74	0	0	-2.92	0	0	0	0	9	9	0	0.015000000000002345	0	0	0	1.04	0	60.6	0	0	1	0	1	0	0
9.167	9.166887755102042	9.236887755102053	149	151	151	150	86.82	151	151	151	151	86.86	0	0	-0.78	0	0	0	0	4	4	0	0.07000000000001094	0	0	0	0.13	0	60.5	0	0	1	0	0	0	0
9.437	9.436887755102044	9.47688775510205	304	373	334	333	100.57	334	334	334	334	100.61	0	0	13.75	0	0	0	0	99	99	0	0.04000000000000625	0	0	0	0.2	0	62.1	0	0	1	1	0	1.825	0
11.302	11.301887755102042	11.35688775510205	198	204	201	201	91.87	201	201	201	201	91.85	0	0	-8.75	0	0	0	0	38	38	0	0.0550000000000086	0	0	0	1.825	0	61.2	0	0	1	0	1	0	0
11.462	11.461887755102042	11.50688775510205	206	209	209	209	92.49	209	209	209	209	92.51	0	0	0.69	0	0	0	0	43	43	0	0.045000000000007034	0	0	0	0.105	0	59.4	0	0	1	0	0	0	0
11.622	11.621887755102042	11.681887755102052	212	219	218	217	93.16	218	218	218	218	93.25	0	0	0.76	0	0	0	0	48	48	0	0.06000000000000938	0	0	0	0.115	0	55.7	0	0	1	1	0	1.83	0
13.512	13.511887755102043	13.531887755102046	162	165	164	164	88.35	164	164	164	164	88.39	0	0	-4.83	0	0	0	0	14	14	0	0.020000000000003126	0	0	0	1.83	0	60.4	0	0	1	0	1	0	0
13.602	13.601887755102043	13.631887755102047	156	157	157	157	87.57	157	157	157	157	87.58	0	0	-0.72	0	0	0	0	9	9	0	0.03000000000000469	0	0	0	0.07	0	55.9	0	0	1	0	0	0	0
13.722	13.721887755102044	13.796887755102055	162	195	176	177	89.7	176	176	176	176	89.58	0	0	2.05	0	0	0	0	22	22	0	0.07500000000001172	0	0	0	0.09	0	68.4	0	0	1	0	0	0	0
13.862	13.861887755102043	13.886887755102046	168	187	179	178	89.8	179	179	179	179	89.83	0	0	0.32	0	0	0	0	24	24	0	0.025000000000003908	0	0	0	0.065	0	55.5	0	0	1	1	0	0.99	0
14.877	14.876887755102043	14.906887755102048	158	165	163	163	88.21	163	163	163	163	88.19	0	0	-1.61	0	0	0	0	13	13	0	0.03000000000000469	0	0	0	0.99	0	52.4	0	0	1	1	1	1.98	0
16.887	16.886887755102045	16.95688775510203	201	212	211	209	92.53	211	211	211	211	92.67	0	0	4.49	0	0	0	0	44	44	0	0.06999999999998607	0	0	0	1.98	0	74.6	0	0	1	0	1	0	0
17.002	17.001887755102043	17.12188775510202	158	178	167	167	88.67	167	167	167	167	88.61	0	0	-4.04	0	0	0	0	16	16	0	0.11999999999997613	0	0	0	0.045	0	58.9	0	0	1	0	0	0	0
17.192	17.191887755102044	17.236887755102035	142	151	145	145	86.24	145	145	145	145	86.23	0	0	-2.38	0	0	0	0	0	0	0	0.04499999999999105	0	0	0	0.07	0	55.2	0	0	1	1	0	1.115	0
18.352	18.351887755102045	18.406887755102034	207	233	224	222	93.6	224	224	224	224	93.74	0	0	7.58	0	0	0	0	51	51	0	0.05499999999998906	0	0	0	1.115	0	64.4	0	0	1	0	1	0	0
18.517	18.516887755102044	18.58688775510203	157	174	165	165	88.48	165	165	165	165	88.45	0	0	-5.24	0	0	0	0	15	15	0	0.06999999999998607	0	0	0	0.11	0	63	0	0	1	1	0	2.912	0
